alias,lineage
C.1,B.1.1.1.1
C.2,B.1.1.1.2
C.2.1,B.1.1.1.2.1
C.3,B.1.1.1.3
C.4,B.1.1.1.4
C.5,B.1.1.1.5
C.6,B.1.1.1.6
C.7,B.1.1.1.7
C.8,B.1.1.1.8
C.9,B.1.1.1.9
C.10,B.1.1.1.10
C.11,B.1.1.1.11
C.12,B.1.1.1.12
C.13,B.1.1.1.13
C.14,B.1.1.1.14
C.16,B.1.1.1.16
C.17,B.1.1.1.17
C.18,B.1.1.1.18
C.19,B.1.1.1.19
C.20,B.1.1.1.20
C.21,B.1.1.1.21
C.22,B.1.1.1.22
C.23,B.1.1.1.23
C.25,B.1.1.1.25
C.26,B.1.1.1.26
C.27,B.1.1.1.27
C.28,B.1.1.1.28
C.29,B.1.1.1.29
C.30,B.1.1.1.30
C.30.1,B.1.1.1.30.1
C.31,B.1.1.1.31
C.32,B.1.1.1.32
C.33,B.1.1.1.33
C.34,B.1.1.1.34
C.35,B.1.1.1.35
C.36,B.1.1.1.36
C.36.1,B.1.1.1.36.1
C.36.2,B.1.1.1.36.2
D.2,B.1.1.25.2
D.3,B.1.1.25.3
D.4,B.1.1.25.4
D.5,B.1.1.25.5
G.1,B.1.258.2.1
K.1,B.1.1.277.1
K.2,B.1.1.277.2
K.3,B.1.1.277.3
L.1,B.1.1.10.1
L.2,B.1.1.10.2
L.3,B.1.1.10.3
L.4,B.1.1.10.4
M.1,B.1.1.294.1
M.2,B.1.1.294.2
M.3,B.1.1.294.3
N.1,B.1.1.33.1
N.2,B.1.1.33.2
N.3,B.1.1.33.3
N.4,B.1.1.33.4
N.5,B.1.1.33.5
N.6,B.1.1.33.6
N.7,B.1.1.33.7
N.8,B.1.1.33.8
N.9,B.1.1.33.9
N.10,B.1.1.33.10
P.1,B.1.1.28.1
P.2,B.1.1.28.2
P.3,B.1.1.28.3
R.1,B.1.1.316.1
R.2,B.1.1.316.2
S.1,B.1.1.217.1
U.1,B.1.177.60.1
U.2,B.1.177.60.2
U.3,B.1.177.60.3
V.1,B.1.177.54.1
V.2,B.1.177.54.2
W.1,B.1.177.53.1
W.2,B.1.177.53.2
W.3,B.1.177.53.3
W.4,B.1.177.53.4
Y.1,B.1.177.52.1
Z.1,B.1.177.50.1
AA.1,B.1.177.15.1
AA.2,B.1.177.15.2
AA.3,B.1.177.15.3
AA.4,B.1.177.15.4
AA.5,B.1.177.15.5
AA.6,B.1.177.15.6
AA.7,B.1.177.15.7
AA.8,B.1.177.15.8
AB.1,B.1.160.16.1
AC.1,B.1.1.405.1
AD.1,B.1.1.315.1
AD.2,B.1.1.315.2
AD.2.1,B.1.1.315.2.1
AE.1,B.1.1.306.1
AE.2,B.1.1.306.2
AE.3,B.1.1.306.3
AE.4,B.1.1.306.4
AE.5,B.1.1.306.5
AE.6,B.1.1.306.6
AE.7,B.1.1.306.7
AE.8,B.1.1.306.8
AF.1,B.1.1.305.1
AG.1,B.1.1.297.1
AH.1,B.1.1.241.1
AH.2,B.1.1.241.2
AH.3,B.1.1.241.3
AJ.1,B.1.1.240.1
AK.1,B.1.1.232.1
AK.2,B.1.1.232.2
AL.1,B.1.1.231.1
AM.1,B.1.1.216.1
AM.2,B.1.1.216.2
AM.3,B.1.1.216.3
AM.4,B.1.1.216.4
AN.1,B.1.1.200.1
AP.1,B.1.1.70.1
AQ.1,B.1.1.39.1
AQ.2,B.1.1.39.2
AS.1,B.1.1.317.1
AS.2,B.1.1.317.2
